Index,City,lat,lng,States/UT,no_pos_sent,no_som_pos_sent,no_neg_sent,no_som_neg_sent,no_neut_sent
0,Mumbai,18.987807,72.836447,Maharashtra,29411,16438,16915,11601,43155
1,Delhi,28.651952,77.231495,Delhi,17642,10653,10710,7773,32314
2,Kolkata,22.562627,88.363044,West Bengal,6276,3628,4270,2658,9552
3,Chennai,13.084622,80.248357,Tamil Nadu,7344,4469,3986,3049,15868
4,Bangalore,12.977063,77.587106,Karnataka,14039,8197,8352,5845,21697
5,Hyderabad,17.384052,78.456355,Telengana,10454,5957,5885,4261,15943
6,Ahmedabad,23.025793,72.587265,Gujarat,3437,1835,1679,1218,5307
7,Pune,18.513271,73.849852,Maharashtra,7260,3959,3466,2442,10344
8,Surat,21.195944,72.830232,Gujarat,1290,730,527,373,1922
9,Lucknow,26.839281,80.923133,Uttar Pradesh,2376,1320,1412,948,4633
10,Patna,25.615379,85.101027,Bihar,1524,916,925,625,2850
11,Indore,22.717736,75.85859,Madhya Pradesh,1149,662,580,421,1884
12,Bhopal,23.254688,77.402892,Madhya Pradesh,876,557,537,406,1798
13,Varanasi,25.31774,83.005811,Uttar Pradesh,852,507,443,394,1492
14,Jodhpur,26.26841,73.005943,Rajasthan,563,273,245,159,848
15,Chandigarh,30.736292,76.788398,Haryana,2731,1540,1338,978,4099
16,Thiruvananthapuram,8.485498,76.949238,Kerala,594,348,392,266,1197
17,Mysore,12.292664,76.638543,Karnataka,35,18,15,13,49
18,Bhubaneswar,20.272411,85.833853,Odisha,3768,1755,1807,1141,4841
19,Jammu,32.735686,74.869112,Jammu and Kashmir,1531,856,1009,607,2401
20,Amravati,20.933272,77.75152,Andhra Pradesh,104,55,77,37,154
21,Dehradun,30.324427,78.033922,Uttarakhand,755,374,390,251,1084
22,Aizawl,23.736701,92.714596,Mizoram,49,12,7,9,53
23,Imphal,24.808053,93.944203,Manipur,239,121,76,57,261
24,Shimla,31.104423,77.166623,Himachal Pradesh,194,111,90,62,273
25,Port Blair,11.666667,92.75,Andaman and Nicobar Island,36,23,9,13,42
26,Gangtok,27.325739,88.612155,Sikkim,71,47,48,21,132
27,Itanagar,27.102349,93.692047,Arunachal Pradesh,107,59,37,38,174
28,Dispur,26.135638,91.800688,Assam,2924,1383,1301,886,4197
29,Jaipur,26.913312,75.787872,Rajasthan,2560,1361,1234,986,4034
30,Gandhinagar,23.216667,72.683333,Gujarat,53,30,29,17,67
31,Panaji,15.498289,73.824541,Goa,1126,707,719,518,1647
32,Ranchi,23.347768,85.338564,Jharkhand,633,375,392,278,1071
33,New Delhi,28.6,77.2,Delhi,15852,9371,9363,6587,23952
34,Raipur,21.233333,81.633333,Chhattisgarh,411,251,211,155,724
35,Puducherry,11.933812,79.829792,Puducherry,226,123,123,100,360
36,Amritsar,31.622337,74.875335,Punjab,201,113,155,92,259
37,Agartala,23.836049,91.279386,Tripura,208,89,73,54,230
38,Shillong,25.573987,91.896807,Meghalaya,133,79,68,61,278
39,Kohima,25.674673,94.110988,Nagaland,71,26,34,15,88
